CSDUID,CSDNAME,Latitude,Longitude,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population
3501042,North Stormont,45.2452887,-75.001594,Basement,1825.0,2.0,1.0,0,1,1,693.2284334664314,1,7828
3501042,North Stormont,45.1234837,-75.0924985,Duplex/Triplex,1800.0,3.0,2.0,0,0,1,693.2284334664314,1,7828
3501050,North Glengarry,45.3139668,-74.6352838,Apartment,1450.0,2.0,1.0,0,0,0,693.2284334664314,1,10537
3501050,North Glengarry,45.2886749,-74.8545436,Apartment,850.0,2.0,1.0,0,0,1,650.0,1,10537
3501050,North Glengarry,45.3111909,-74.6354902,Condo,1575.0,2.0,1.0,0,0,1,900.0,1,10537
3502008,Hawkesbury,45.6105461,-74.5981073,Apartment,1000.0,2.0,1.0,0,1,1,800.0,1,10632
3502008,Hawkesbury,45.6094735,-74.6058962,Apartment,1395.0,1.0,1.0,0,1,1,650.0,1,10632
3502008,Hawkesbury,45.606357,-74.610877,Apartment,1200.0,2.0,1.0,0,0,1,700.0,1,10632
3502008,Hawkesbury,45.603024,-74.5812572,House,1900.0,3.0,2.0,0,0,1,693.2284334664314,1,10632
3502008,Hawkesbury,45.6026111,-74.6174989,Duplex/Triplex,1300.0,2.0,1.0,0,0,1,850.0,1,10632
3502008,Hawkesbury,45.6048131,-74.5879529,Apartment,975.0,2.0,1.0,0,0,1,800.0,1,10632
3502008,Hawkesbury,45.6098392,-74.6054307,Apartment,1295.0,1.0,1.0,0,1,1,693.2284334664314,1,10632
3502008,Hawkesbury,45.604673,-74.591799,Apartment,1075.0,2.0,1.0,0,0,0,693.2284334664314,1,10632
3502008,Hawkesbury,45.6039763,-74.587917,Apartment,1195.0,3.0,1.0,0,0,1,850.0,1,10632
3502008,Hawkesbury,45.6099494,-74.6054601,Apartment,1095.0,1.0,1.0,0,1,1,693.2284334664314,1,10632
3502008,Hawkesbury,45.6086141,-74.6025337,Duplex/Triplex,1500.0,3.0,1.0,0,0,1,693.2284334664314,1,10632
3502008,Hawkesbury,45.6036854,-74.6028034,House,1300.0,3.0,1.0,0,1,1,693.2284334664314,2,10632
3502010,Champlain,45.6192681,-74.6928116,Apartment,975.0,1.0,1.0,0,1,1,700.0,1,9044
3502010,Champlain,45.6192681,-74.6928116,Apartment,1050.0,2.0,1.0,0,1,1,800.0,1,9044
3502010,Champlain,45.6055087,-74.5782132,Condo,1650.0,2.0,1.5,0,0,0,693.2284334664314,1,9044
3502010,Champlain,45.5196512,-74.6522016,Apartment,1150.0,1.0,1.0,0,0,1,693.2284334664314,1,9044
3502010,Champlain,45.6192681,-74.6928116,Apartment,900.0,2.0,1.0,0,0,1,800.0,2,9044
3502010,Champlain,45.6192681,-74.6928116,Apartment,975.0,1.0,1.0,0,1,1,700.0,1,9044
